source,target,count
4194,18,10
4193,4978,10
4562,4970,6
4186,198,2
4973,31,1
255,46,2
4469,31,1
3884,198,1
4266,211,1
4405,266,1
4117,198,1
34,208,9
212,1364,1
376,198,1
5955,266,1
219,220,2
5981,5982,1
4441,198,1
4392,198,1
3796,198,3
4000,198,1
5786,31,1
5434,211,1
30,4228,1
4287,75,1
4606,69,1
5784,5785,2
83,311,18
22,23,106
4081,266,2
4442,198,2
5093,211,1
4191,3908,1
214,2150,1
5980,5482,5
4360,31,1
803,804,1
4785,4786,1
3902,198,1
4266,81,1
4430,371,1
4638,266,1
26,55,9
26,56,6
4907,31,1
4554,81,1
314,75,1
3928,198,1
61,165,16
61,166,11
4592,81,2
4217,211,1
343,69,1
4375,198,3
4761,31,1
4371,266,2
4399,3764,1
4546,295,2
4638,211,1
26,27,9
5114,46,1
4069,295,1
54,55,14
4297,5439,5
3829,198,2
83,869,1
4273,5983,1
5382,31,1
69,70,1
430,431,1
3935,81,1
4520,266,1
3817,198,2
4590,198,1
56,27,11
4476,211,1
5613,465,3
4182,198,1
34,202,13
4638,31,1
12,5,1
233,168,4
4617,198,1
61,196,5
5419,198,1
5986,5987,1
4354,211,1
4291,4452,1
214,2087,1
5483,81,1
65,40,18
4500,69,1
167,168,4
3995,198,1
225,226,2
4580,18,1
375,75,1
210,211,1
4419,198,3
4109,75,1
83,101,1
182,69,1
4584,266,1
30,266,2
24,25,33
3940,31,1
4657,4037,2
176,177,4
3816,31,1
4092,81,1
4652,4751,1
3849,211,1
26,68,8
151,207,7
26,62,10
54,165,5
54,166,4
4197,69,1
4306,31,1
5615,5795,1
314,198,4
83,199,1
4437,198,2
4502,31,1
214,2101,1
3899,198,4
2210,211,1
4074,198,1
193,27,10
4124,31,1
790,540,1
4542,4750,1
959,75,2
5581,198,4
83,1461,1
320,81,2
4615,75,1
4223,69,1
4306,211,1
4577,211,1
30,31,1
5985,325,1
5129,5723,1
4783,198,1
333,198,3
3930,198,2
4263,198,1
4016,81,1
4697,211,1
5765,2829,1
3982,211,1
117,27,10
4689,5482,8
66,67,71
5608,198,1
2341,5429,1
185,27,8
69,319,1
4455,75,1
46,4634,3
54,68,2
54,62,14
4601,198,1
4643,5782,1
4554,266,1
59,27,5
4036,81,1
5642,4148,1
45,27,14
4675,46,5
83,159,1
4405,81,1
4195,198,1
83,150,1
83,152,13
46,118,358
61,62,9
61,68,5
4271,198,1
26,196,8
151,62,9
5955,81,1
49,27,14
4524,198,1
151,68,2
4048,198,1
259,81,4
4371,198,1
55,27,4
163,27,7
273,27,6
46,371,9
5483,198,1
4453,198,1
294,81,1
3905,31,1
259,75,1
3986,198,1
3913,18,3
34,35,11
5003,325,46
34,38,10
5548,5723,1
5687,1566,1
4291,198,3
4603,18,1
5491,540,1
2927,198,1
83,203,118
5375,81,1
5075,3857,4
34,224,7
34,227,193
34,228,9
4429,211,1
3917,198,2
3937,81,3
4263,295,3
4170,4418,5
5419,31,1
4558,198,5
4317,266,1
5326,5327,1
83,331,1
4281,18,2
83,99,1
4429,266,3
4303,211,1
3937,75,4
283,198,1
333,211,1
4967,81,2
4450,198,3
4442,69,1
4849,31,1
54,56,14
4615,4037,2
335,211,1
4155,211,1
61,27,7
4152,69,6
151,27,8
54,178,1
4100,31,1
4676,81,1
4542,81,1
314,211,1
4152,18,2
3920,31,1
66,205,25
4170,211,1
4618,295,2
4906,81,1
4354,198,1
151,56,15
167,27,4
4527,5976,1
151,55,18
247,69,4
73,27,12
4248,198,1
4952,31,1
4847,198,1
4145,198,1
5754,198,1
21,5,9
4296,198,1
4547,46,12
358,177,3
80,81,2
4329,69,1
83,279,58
83,373,40
275,27,5
4763,69,2
4063,75,3
4558,31,1
4995,198,1
4559,198,1
4145,31,1
4365,31,1
4297,31,1
5735,69,1
292,27,12
3935,31,1
68,27,9
151,165,12
5087,5412,1
4761,211,1
151,166,9
230,27,7
4361,31,1
4195,4372,2
4907,198,1
4778,31,1
4659,69,1
4443,75,1
3933,3938,1
3859,31,1
231,232,3
4361,266,1
1629,42,1
116,27,13
46,4513,1
5099,198,2
313,295,1
4441,266,1
26,166,7
26,165,6
4524,266,2
4347,81,1
3806,31,1
42,201,3
4393,5880,1
83,286,42
83,288,25
4217,81,1
4458,31,1
4470,198,1
3896,295,2
4419,31,1
4191,266,1
4643,4228,4
419,211,1
4286,198,2
1,4503,1
48,27,11
61,207,6
4247,81,1
4281,198,1
151,196,10
4385,211,1
4069,81,1
30,198,1
3966,31,1
17,211,1
4321,31,1
5129,4898,1
4605,81,1
778,31,1
4273,295,2
4666,211,1
5375,75,1
4323,42,1
26,5224,77
4778,793,1
386,18,1
285,31,1
4429,198,3
4039,198,4
5478,198,2
4178,198,1
2050,368,1
233,27,5
4657,76,1
83,302,9
3976,198,1
83,308,1
4204,4236,1
69,204,2
179,180,14
4286,295,1
4500,198,4
5979,428,2
4634,46,1
4568,211,1
4216,81,2
3925,198,2
83,124,2
4433,198,2
3919,198,6
187,69,2
64,27,13
3929,198,2
4279,31,1
5131,5723,1
4546,198,1
4271,69,1
5725,226,2
265,18,1
4948,46,29
4847,211,1
4624,1,13
4650,198,1
4519,266,1
4435,198,1
5882,5883,3
4500,226,3
34,242,13
34,172,4
4376,4228,6
188,189,65
5131,5429,1
33,27,5
54,207,8
34,250,4
4197,31,1
151,256,2
4322,198,1
191,192,12
54,196,4
4429,81,2
249,27,12
194,27,5
26,207,12
3918,31,1
5984,46,14
4118,266,1
214,276,1
5052,46,1
4244,762,1
4512,325,1
4601,81,1
83,269,49
4657,31,1
4433,69,1
4466,69,1
3991,198,1
4575,198,2
5974,1310,4
4019,4228,11
5757,18,6
32,27,8
54,27,5
3975,198,1
4601,31,1
151,178,6
5444,69,1
4635,4682,1
4676,211,1
4109,81,1
5855,22,3
321,198,1
4914,5795,1
4092,198,1
4100,69,5
3925,31,2
4371,81,1
5084,4308,1
34,186,6
4603,198,1
4647,211,1
536,537,18
4152,31,1
5755,5756,2
5317,5722,4
4369,266,1
3915,31,1
329,198,4
4604,198,1
247,18,6
4570,69,1
5444,266,1
5671,26,110
4243,81,1
5349,40,1
34,113,7
17,198,1
4477,18,1
4063,198,4
239,27,2
4806,46,33
3909,198,2
